日付(JST),DAU,WAU,MAU
2025-10-13,0,0,0
2025-10-14,0,0,0
2025-10-15,0,0,0
2025-10-16,0,0,0
2025-10-17,0,0,0
2025-10-18,0,0,0
2025-10-19,0,0,0
2025-10-20,0,0,0
2025-10-21,0,0,0
2025-10-22,0,0,0
2025-10-23,0,0,0
2025-10-24,0,0,0
2025-10-25,0,0,0
2025-10-26,0,0,0
2025-10-27,0,0,0
2025-10-28,0,0,0
2025-10-29,0,0,0
2025-10-30,0,0,0
2025-10-31,1,1,1
2025-11-01,0,1,1
2025-11-02,1,1,1
2025-11-03,50,50,50
2025-11-04,62,69,69
2025-11-05,53,76,76
2025-11-06,61,81,81
2025-11-07,44,82,82
2025-11-08,40,83,83
2025-11-09,37,84,84
2025-11-10,47,90,92
2025-11-11,42,85,94
2025-11-12,43,85,96
2025-11-13,30,77,96
2025-11-14,37,74,96
2025-11-15,37,73,97
2025-11-16,31,68,98
2025-11-17,35,63,98
2025-11-18,38,61,98
2025-11-19,31,55,98
2025-11-20,32,58,102
2025-11-21,31,56,102
2025-11-22,25,54,102
2025-11-23,27,53,102
2025-11-24,22,51,102
2025-11-25,33,46,102
2025-11-26,39,51,103
2025-11-27,29,53,103
2025-11-28,31,54,104
2025-11-29,23,53,104
2025-11-30,17,54,104
2025-12-01,12,54,104
2025-12-02,24,51,104
